Time,Dist,Curv,PathX,PathY,Speed,PathHeading,LatGap,YawDev,LongAcc,LatAcc,SideSlip,Vx,Vy,YawVel,SlipAngleFront,SlipAngleRear,LatForceFront,LatForceRear,LongForceFront,LongForceRear,VertForceFront,VertForceRear,Steer,Throttle,Brake,Gear,Clutch
sec,m,1/m,m,m,m/s,rad,m,deg,g,g,deg,m/s,m/s,rad/s,deg,deg,N,N,N,N,N,N,deg,%,N,#,0-1
0.0,0.499,0.0,1.5434,3.7402,9.9797,1.57,-1,-1,-1,-1,0.0,9.9797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.2307,3197.4281,0.0,0.0,0.0,0,0
0.05,0.9978,0.0,1.5438,4.239,9.9767,1.57,-1,-1,-1,-1,0.0,9.9767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.2153,3197.392,0.0,0.0,0.0,0,0
0.1,1.4965,0.0,1.5442,4.7377,9.9738,1.57,-1,-1,-1,-1,0.0,9.9738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.2,3197.356,0.0,0.0,0.0,0,0
0.15,2.0089,0.0,1.5446,5.2501,10.2476,1.57,-1,-1,-1,-1,0.0,10.2476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3603.1846,3197.32,0.0,1.0,0.0,0,0
0.2,2.535,0.0,1.545,5.7762,10.5212,1.57,-1,-1,-1,-1,0.0,10.5212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3604.6419,3200.7328,0.0,1.0,0.0,0,0
0.25,3.0747,0.0,1.5454,6.3159,10.7947,1.57,-1,-1,-1,-1,0.0,10.7947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3606.1378,3204.2359,0.0,1.0,0.0,0,0
0.3,3.6281,0.0,1.5459,6.8693,11.068,1.57,-1,-1,-1,-1,0.0,11.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3607.6721,3207.8291,0.0,1.0,0.0,0,0
0.35,4.1951,0.0,1.5463,7.4363,11.3411,1.57,-1,-1,-1,-1,0.0,11.3411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3609.2448,3211.5121,0.0,1.0,0.0,0,0
0.4,4.7758,0.0,1.5468,8.017,11.614,1.57,-1,-1,-1,-1,0.0,11.614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3610.8558,3215.2847,0.0,1.0,0.0,0,0
