Time,Dist,Curv,PathX,PathY,Speed,PathHeading,LatGap,YawDev,LongAcc,LatAcc,SideSlip,Vx,Vy,YawVel,SlipAngleFront,SlipAngleRear,LatForceFront,LatForceRear,LongForceFront,LongForceRear,VertForceFront,VertForceRear,Steer,Throttle,Brake,Gear,Clutch
sec,m,1/m,m,m,m/s,rad,m,deg,g,g,deg,m/s,m/s,rad/s,deg,deg,N,N,N,N,N,N,deg,%,N,#,0-1
0.0,0.4984,0.0,1.545,5.7346,9.9681,1.57,-1,-1,-1,-1,0.0,9.9681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.1698,3197.2854,0.0,0.0,0.0,0,0
0.05,0.9967,0.0,1.5454,6.2329,9.9652,1.57,-1,-1,-1,-1,0.0,9.9652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.1545,3197.2495,0.0,0.0,0.0,0,0
0.1,1.4948,0.0,1.5458,6.731,9.9622,1.57,-1,-1,-1,-1,0.0,9.9622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.1391,3197.2136,0.0,0.0,0.0,0,0
0.15,1.9927,0.0,1.5462,7.2289,9.9593,1.57,-1,-1,-1,-1,0.0,9.9593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.1238,3197.1777,0.0,0.0,0.0,0,0
0.2,2.4906,0.0,1.5466,7.7268,9.9564,1.57,-1,-1,-1,-1,0.0,9.9564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.1085,3197.1419,0.0,0.0,0.0,0,0
0.25,2.9882,0.0,1.547,8.2244,9.9535,1.57,-1,-1,-1,-1,0.0,9.9535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.0932,3197.1061,0.0,0.0,0.0,0,0
0.3,3.4858,0.0,1.5474,8.722,9.9506,1.57,-1,-1,-1,-1,0.0,9.9506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.0779,3197.0703,0.0,0.0,0.0,0,0
0.35,3.997,0.0,1.5478,9.2332,10.2244,1.57,-1,-1,-1,-1,0.0,10.2244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3603.0627,3197.0345,0.0,1.0,0.0,0,0
0.4,4.5219,0.0,1.5482,9.7581,10.498,1.57,-1,-1,-1,-1,0.0,10.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3604.5167,3200.4396,0.0,1.0,0.0,0,0
0.45,5.0567,0.0,1.5739,10.2923,10.6968,1.5617,-1,-1,-1,-1,-0.0389,10.6887,-0.4161,-0.1655,-0.1963,-0.1963,-5812.887,0.0,0.0,3791.0,3606.0093,3203.9351,-0.1963,1.0,0.0,0,0
0.5,5.6015,0.0,1.6174,10.8354,10.8962,1.5406,-1,-1,-1,-1,-0.0497,10.8827,-0.5415,-0.423,-0.1375,-0.1375,-5814.6748,2773.561,0.0,3791.0,3607.1184,3206.5323,-0.1963,1.0,0.0,0,0
0.55,6.1573,0.0,1.6908,11.3863,11.116,1.5136,-1,-1,-1,-1,-0.0753,11.0846,-0.8362,-0.5394,-0.0967,-0.0967,-5816.5014,-1485.8566,0.0,3791.0,3608.2515,3209.1859,-0.1963,1.0,0.0,0,0
0.6,6.724,0.0,1.7884,11.9445,11.333,1.4771,-1,-1,-1,-1,-0.0793,11.2973,-0.8983,-0.7303,-0.0589,-0.0589,-5818.5551,759.5447,0.0,3791.0,3609.5255,3212.1694,-0.1963,1.0,0.0,0,0
0.65,7.3027,0.0,1.9186,12.5084,11.5752,1.4373,-1,-1,-1,-1,-0.0934,11.5247,-1.08,-0.7962,-0.0347,-0.0347,-5503.7768,-2742.0421,0.0,3791.0,3610.8074,3215.1715,-0.1963,1.0,0.0,0,0
0.7,7.895,0.0,2.0296,13.0901,11.8446,1.4086,-1,-1,-1,-1,-0.0264,11.8405,-0.3124,-0.5744,0.181,0.181,5822.9758,-1593.3033,0.0,3791.0,3612.2679,3218.5916,0.0,1.0,0.0,0,0
0.75,8.4928,0.0,2.1286,13.6797,11.9561,1.3964,-1,-1,-1,-1,0.0081,11.9558,0.0963,-0.2434,0.0889,0.0889,5825.6529,-4885.1032,0.0,1513.126,3613.9286,3222.4808,0.0,1.0,0.0,0,0
0.8,9.0983,0.0,2.2231,14.2778,12.111,1.3978,-1,-1,-1,-1,0.0165,12.1094,0.1993,0.0275,0.0183,0.0183,4048.7912,-4629.824,0.0,2178.3222,3614.6275,3224.1175,0.0,1.0,0.0,0,0
0.85,9.7176,0.0,2.3448,14.885,12.3856,1.397,-1,-1,-1,-1,-0.024,12.3821,-0.2971,-0.0161,-0.0194,-0.0194,-4204.7575,-2368.3885,0.0,3791.0,3615.6087,3226.4153,0.0,1.0,0.0,0,0
0.9,10.3505,0.0,2.4378,15.511,12.6571,1.3975,-1,-1,-1,-1,0.0257,12.6529,0.3247,0.0113,0.0257,0.0257,4907.35,3475.0465,0.0,3769.5055,3617.3793,3230.5618,0.0,1.0,0.0,0,0
0.95,10.9961,0.0,2.5652,16.1439,12.9121,1.3969,-1,-1,-1,-1,-0.0246,12.9082,-0.3181,-0.0116,-0.0268,-0.0268,-5008.9582,-3699.9822,0.0,3558.5799,3619.1689,3234.7526,0.0,1.0,0.0,0,0
