Time,Dist,Curv,PathX,PathY,Speed,PathHeading,LatGap,YawDev,LongAcc,LatAcc,SideSlip,Vx,Vy,YawVel,SlipAngleFront,SlipAngleRear,LatForceFront,LatForceRear,LongForceFront,LongForceRear,VertForceFront,VertForceRear,Steer,Throttle,Brake,Gear,Clutch
sec,m,1/m,m,m,m/s,rad,m,deg,g,g,deg,m/s,m/s,rad/s,deg,deg,N,N,N,N,N,N,deg,%,N,#,0-1
0.0,0.4994,0.0,1.5422,2.2428,9.9884,1.57,-1,-1,-1,-1,0.0,9.9884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.2765,3197.5352,0.0,0.0,0.0,0,0
0.05,0.9987,0.0,1.5426,2.7421,9.9854,1.57,-1,-1,-1,-1,0.0,9.9854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.261,3197.4991,0.0,0.0,0.0,0,0
0.1,1.4978,0.0,1.543,3.2412,9.9825,1.57,-1,-1,-1,-1,0.0,9.9825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.2456,3197.4629,0.0,0.0,0.0,0,0
0.15,1.9968,0.0,1.5434,3.7402,9.9796,1.57,-1,-1,-1,-1,0.0,9.9796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.2302,3197.4268,0.0,0.0,0.0,0,0
0.2,2.4956,0.0,1.5438,4.239,9.9766,1.57,-1,-1,-1,-1,0.0,9.9766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.2148,3197.3908,0.0,0.0,0.0,0,0
0.25,3.0081,0.0,1.5442,4.7515,10.2504,1.57,-1,-1,-1,-1,0.0,10.2504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3603.1994,3197.3548,0.0,1.0,0.0,0,0
0.3,3.5343,0.0,1.5446,5.2777,10.5241,1.57,-1,-1,-1,-1,0.0,10.5241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3604.6571,3200.7685,0.0,1.0,0.0,0,0
0.35,4.0742,0.0,1.545,5.8176,10.7975,1.57,-1,-1,-1,-1,0.0,10.7975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3606.1534,3204.2725,0.0,1.0,0.0,0,0
0.4,4.6278,0.0,1.5455,6.3712,11.0708,1.57,-1,-1,-1,-1,0.0,11.0708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3607.6881,3207.8666,0.0,1.0,0.0,0,0
0.45,5.195,0.0,1.5459,6.9384,11.3439,1.57,-1,-1,-1,-1,0.0,11.3439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3609.2612,3211.5505,0.0,1.0,0.0,0,0
0.5,5.7758,0.0,1.5464,7.5192,11.6168,1.57,-1,-1,-1,-1,0.0,11.6168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3610.8726,3215.3241,0.0,1.0,0.0,0,0
0.55,6.3703,0.0,1.5469,8.1137,11.8896,1.57,-1,-1,-1,-1,0.0,11.8896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3612.5221,3219.1871,0.0,1.0,0.0,0,0
0.6,6.9784,0.0,1.5474,8.7218,12.1621,1.57,-1,-1,-1,-1,0.0,12.1621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3614.2097,3223.1391,0.0,1.0,0.0,0,0
0.65,7.6001,0.0,1.5479,9.3435,12.4345,1.57,-1,-1,-1,-1,0.0,12.4345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3615.9353,3227.1801,0.0,1.0,0.0,0,0
0.7,8.2354,0.0,1.5484,9.9788,12.7067,1.57,-1,-1,-1,-1,0.0,12.7067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3617.6987,3231.3097,0.0,1.0,0.0,0,0
0.75,8.8844,0.0,1.5489,10.6278,12.9786,1.57,-1,-1,-1,-1,0.0,12.9786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3619.4998,3235.5277,0.0,1.0,0.0,0,0
0.8,9.5469,0.0,1.5494,11.2903,13.2504,1.57,-1,-1,-1,-1,0.0,13.2504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3621.3386,3239.8337,0.0,1.0,0.0,0,0
0.85,10.223,0.0,1.5499,11.9664,13.522,1.57,-1,-1,-1,-1,0.0,13.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3623.2149,3244.2276,0.0,1.0,0.0,0,0
