Time,Dist,Curv,PathX,PathY,Speed,PathHeading,LatGap,YawDev,LongAcc,LatAcc,SideSlip,Vx,Vy,YawVel,SlipAngleFront,SlipAngleRear,LatForceFront,LatForceRear,LongForceFront,LongForceRear,VertForceFront,VertForceRear,Steer,Throttle,Brake,Gear,Clutch
sec,m,1/m,m,m,m/s,rad,m,deg,g,g,deg,m/s,m/s,rad/s,deg,deg,N,N,N,N,N,N,deg,%,N,#,0-1
0.0,0.499,0.0,1.0435,2.2431,9.9797,4.7124,-1,-1,-1,-1,0.0,9.9797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.2307,3197.4281,0.0,0.0,0.0,0,0
0.05,0.9978,0.0,1.0435,1.7443,9.9767,4.7124,-1,-1,-1,-1,0.0,9.9767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.2153,3197.392,0.0,0.0,0.0,0,0
0.1,1.4965,0.0,1.0435,1.2456,9.9738,4.7124,-1,-1,-1,-1,0.0,9.9738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.2,3197.356,0.0,0.0,0.0,0,0
0.15,1.9951,0.0,1.0435,0.747,9.9709,4.7124,-1,-1,-1,-1,0.0,9.9709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.1846,3197.32,0.0,0.0,0.0,0,0
0.2,2.4935,0.0,1.0435,0.2486,9.968,4.7124,-1,-1,-1,-1,0.0,9.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.1692,3197.2841,0.0,0.0,0.0,0,0
0.25,2.9917,0.0,1.0435,-0.2496,9.965,4.7124,-1,-1,-1,-1,0.0,9.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.1539,3197.2481,0.0,0.0,0.0,0,0
0.3,3.5036,0.0,1.0435,-0.7615,10.2388,4.7124,-1,-1,-1,-1,0.0,10.2388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3603.1386,3197.2122,0.0,1.0,0.0,0,0
0.35,4.0255,0.0,1.0686,-1.2828,10.438,4.7207,-1,-1,-1,-1,0.0399,10.4297,0.416,0.1655,0.1963,0.1963,5810.6065,0.0,0.0,3791.0,3604.5946,3200.6221,0.1963,1.0,0.0,0,0
0.4,4.5574,0.0,1.1113,-1.813,10.6376,4.7419,-1,-1,-1,-1,0.0508,10.6239,0.5397,0.4245,0.136,0.136,5812.354,-2823.3672,0.0,3791.0,3605.6787,3203.1608,0.1963,1.0,0.0,0,0
0.45,5.1004,0.0,1.184,-2.3511,10.859,4.7688,-1,-1,-1,-1,0.078,10.826,0.846,0.5377,0.0942,0.0942,5814.1389,1582.8758,0.0,3791.0,3606.7859,3205.7538,0.1963,1.0,0.0,0,0
0.5,5.6542,0.0,1.2801,-2.8964,11.0756,4.8056,-1,-1,-1,-1,0.0812,11.0391,0.8985,0.7363,0.0549,0.0549,5816.1397,-997.3426,0.0,3791.0,3608.0384,3208.687,0.1963,1.0,0.0,0,0
0.55,6.2203,0.0,1.4082,-3.4479,11.322,4.8451,-1,-1,-1,-1,0.0955,11.2704,1.0796,0.7904,0.0303,0.0303,5259.3305,2890.0845,0.0,3791.0,3609.2894,3211.6166,0.1963,1.0,0.0,0,0
0.6,6.7994,0.0,1.5553,-4.008,11.583,4.8864,-1,-1,-1,-1,0.0829,11.5433,0.9587,0.8263,0.012,0.012,3003.7771,1500.0801,0.0,3791.0,3610.7419,3215.0181,0.1963,1.0,0.0,0,0
0.65,7.391,0.0,1.7337,-4.5721,11.8323,4.9284,-1,-1,-1,-1,0.0903,11.7841,1.0667,0.8403,0.0225,0.0225,4584.509,3516.4235,0.0,3705.0325,3612.3155,3218.7031,0.1963,1.0,0.0,0,0
0.7,7.9957,0.0,1.9374,-5.1414,12.0928,4.9714,-1,-1,-1,-1,0.0846,12.0496,1.0214,0.8585,0.0156,0.0156,3645.9679,2586.8956,0.0,3791.0,3613.8517,3222.3008,0.1963,1.0,0.0,0,0
0.75,8.6131,0.0,2.1715,-5.7127,12.3483,5.0152,-1,-1,-1,-1,0.0861,12.3026,1.0621,0.8761,0.0213,0.0213,4442.1364,3286.2329,0.0,3791.0,3615.4925,3226.1431,0.1963,1.0,0.0,0,0
